vehicle_id,timestamp,day_of_week,hour,minute,source_junction,destination_junction,distance,lane_count,vehicle_speed,congestion_score,signal_phase,travel_time
focused_return_flow.0,39,5,8,0,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.49,0.0,0,38.0
focused_office_flow.0,44,5,8,0,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,17.42,0.0,0,34.0
focused_return_flow.1,53,5,8,0,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.15,0.0,0,37.0
focused_office_flow.1,60,5,8,1,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,17.22,0.0,0,35.0
focused_return_flow.2,68,5,8,1,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.23,0.75,0,38.0
focused_office_flow.2,75,5,8,1,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,15.83,0.0,0,36.0
police_1,76,5,8,1,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,14.93,0.0,0,33.0
focused_return_flow.3,82,5,8,1,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,15.7,0.0,0,38.0
fire_2,83,5,8,1,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,15.55,0.0,0,37.0
107,84,5,8,1,3691364000,3786062250,84.76,1,12.86,0.0,1,11.0
focused_office_flow.3,90,5,8,1,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,17.86,0.0,0,37.0
6,97,5,8,1,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,12.87,0.75,0,17.0
focused_return_flow.4,97,5,8,1,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.2,0.75,0,38.0
46,100,5,8,1,cluster_13329900199_13329917155_13430754915_13430754916_#3more,cluster_3673120471_3778155308_8865441836_8865441838,465.54,2,17.98,0.75,0,45.0
focused_office_flow.4,104,5,8,1,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,16.9,2.25,0,36.0
116,108,5,8,1,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,18.62,2.25,0,4.0
focused_return_flow.5,111,5,8,1,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.14,2.25,0,38.0
109,114,5,8,1,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,18.82,2.25,0,4.0
focused_office_flow.5,117,5,8,1,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,17.79,2.25,0,35.0
150,122,5,8,2,cluster_13329900199_13329917155_13430754915_13430754916_#3more,cluster_3673120471_3778155308_8865441836_8865441838,465.54,2,13.27,2.25,0,35.0
focused_return_flow.6,131,5,8,2,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.58,3.0,0,44.0
186,132,5,8,2,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.16,3.0,0,38.0
focused_return_flow.7,139,5,8,2,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.36,3.0,1,38.0
93,142,5,8,2,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,13.71,1.5,0,47.0
focused_office_flow.6,142,5,8,2,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,14.72,1.5,0,46.0
focused_office_flow.7,144,5,8,2,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,16.84,1.5,0,34.0
199,146,5,8,2,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,13.37,1.5,0,32.0
focused_return_flow.8,158,5,8,2,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.19,1.5,0,42.0
87,159,5,8,2,cluster_13329900199_13329917155_13430754915_13430754916_#3more,cluster_3673120471_3778155308_8865441836_8865441838,465.54,2,17.72,1.5,0,59.0
102,168,5,8,2,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,13.13,6.12,1,35.0
210,170,5,8,2,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,14.44,6.12,1,26.0
focused_return_flow.9,170,5,8,2,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,16.92,6.12,1,40.0
focused_office_flow.8,172,5,8,2,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,14.03,14.17,1,47.0
145,172,5,8,2,3673163458,3713300768,47.1,1,7.01,0.0,2,4.0
focused_office_flow.9,174,5,8,2,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,11.25,14.17,2,35.0
106,177,5,8,2,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,14.51,14.17,2,6.0
focused_return_flow.10,181,5,8,3,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,9.74,22.67,2,37.0
focused_office_flow.10,188,5,8,3,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,7.07,22.67,2,35.0
153,206,5,8,3,3691364000,3786062250,84.76,1,11.58,0.0,0,13.0
336,216,5,8,3,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,16.98,82.0,0,16.0
333,221,5,8,3,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,17.16,3.12,0,18.0
256,223,5,8,3,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,18.68,3.12,0,15.0
focused_return_flow.11,224,5,8,3,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,7.58,3.12,0,65.0
focused_office_flow.11,226,5,8,3,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,6.14,3.12,0,58.0
239,228,5,8,3,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,18.31,3.12,0,14.0
283,229,5,8,3,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,8.33,3.12,0,59.0
186,231,5,8,3,cluster_3673120471_3778155308_8865441836_8865441838,cluster_3650501033_3650501039,1455.37,1,7.09,10.54,3,99.0
focused_return_flow.12,233,5,8,3,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,8.08,4.5,0,60.0
focused_return_flow.13,235,5,8,3,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,7.04,4.5,0,48.0
focused_office_flow.12,237,5,8,3,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,9.6,4.5,1,55.0
252,239,5,8,3,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,14.34,4.5,1,51.0
focused_office_flow.13,239,5,8,3,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,9.42,4.5,1,43.0
369,241,5,8,4,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,15.66,12.38,1,17.0
focused_return_flow.14,249,5,8,4,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,4.03,12.38,0,48.0
focused_office_flow.14,252,5,8,4,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,3.62,6.0,0,42.0
focused_return_flow.15,260,5,8,4,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,11.33,6.0,0,44.0
focused_office_flow.15,262,5,8,4,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,12.79,3.0,0,37.0
150,262,5,8,4,cluster_3673120471_3778155308_8865441836_8865441838,cluster_3713300554_3713300555_3713300572,2167.69,1,5.96,41.54,6,140.0
focused_return_flow.16,269,5,8,4,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,14.83,3.0,1,39.0
396,275,5,8,4,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,18.04,5.54,2,5.0
425,275,5,8,4,cluster_13329900199_13329917155_13430754915_13430754916_#3more,cluster_3673120471_3778155308_8865441836_8865441838,465.54,2,11.0,5.54,2,41.0
focused_return_flow.0,38,5,8,0,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.8,0.0,0,37.0
focused_office_flow.0,45,5,8,0,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,16.29,0.0,0,35.0
focused_return_flow.1,53,5,8,0,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.35,0.0,0,37.0
focused_office_flow.1,60,5,8,1,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,17.25,0.0,0,35.0
focused_return_flow.2,67,5,8,1,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.97,0.75,0,37.0
focused_office_flow.2,74,5,8,1,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,15.81,0.0,0,35.0
police_1,75,5,8,1,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,15.76,0.0,0,32.0
focused_return_flow.3,84,5,8,1,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.56,0.75,0,40.0
fire_2,86,5,8,1,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.38,0.75,0,40.0
focused_office_flow.3,88,5,8,1,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,17.53,0.75,0,35.0
focused_return_flow.4,96,5,8,1,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,16.73,0.0,0,37.0
6,97,5,8,1,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,12.9,0.0,0,14.0
